0:(11,6),(29,9),(9,0),(11,16),(3,26),(23,1),(19,21),(24,0),(29,10),(1,12),(31,30),(21,20),(0,17),(13,6),(11,26),(8,28),(29,14),(31,0),(22,13),(22,15),(22,10),(6,15),(27,24),(23,4),(19,13),(21,16),(15,11),(31,13),(24,15),(31,31),(31,28),(12,5),(2,12),(17,11),(9,15),(19,18),(25,20),(13,14),(17,8),(22,31),(5,23),(27,17),(2,6),(25,4),(24,22),(24,31),(10,7),(18,26),(26,20),(16,1),(25,24),(20,18),(16,27),(2,0),(9,21),(11,21),(8,1),(30,10),(22,20),(4,9),(15,17),(27,27),(26,22),(16,28),(11,23),(20,13),(11,20),(13,27),(1,31),(27,21),(24,20),(23,10),(31,9),(29,7),(8,3),(13,15),(18,5),(31,27),(3,17),(19,19),(30,5),(12,11),(31,3),(8,12),(1,27),(9,14),(6,5),(2,16),(31,23),(2,25),(17,30),(28,11),(11,29),(7,31),(18,29),(10,19),(23,18),(5,31),(15,1),(2,11),
1:(11,7),(28,9),(9,1),(11,17),(4,26),(22,1),(19,20),(23,0),(28,10),(1,13),(31,29),(20,20),(1,17),(13,7),(12,26),(9,28),(29,15),(30,0),(22,14),(22,16),(22,11),(7,15),(26,24),(22,4),(19,14),(21,17),(15,10),(31,14),(24,14),(30,31),(31,27),(13,5),(2,13),(18,11),(10,15),(19,17),(25,21),(13,13),(16,8),(21,31),(5,22),(27,16),(3,6),(25,5),(24,23),(24,30),(10,6),(17,26),(27,20),(16,2),(24,24),(20,19),(15,27),(3,0),(10,21),(11,20),(8,1),(29,10),(22,21),(4,10),(15,16),(27,26),(27,22),(16,27),(12,23),(19,13),(11,19),(12,27),(1,30),(26,21),(23,20),(22,10),(30,9),(28,7),(9,3),(12,15),(18,6),(30,27),(3,16),(18,19),(30,6),(11,11),(31,4),(9,12),(2,27),(9,15),(5,5),(2,17),(30,23),(3,25),(18,30),(27,11),(11,28),(8,31),(17,29),(10,18),(23,17),(6,31),(16,1),(2,12),
2:(10,7),(27,9),(10,1),(12,17),(4,25),(22,2),(19,19),(22,0),(27,10),(1,14),(30,29),(19,20),(2,17),(12,7),(13,26),(10,28),(29,16),(29,0),(22,15),(21,16),(23,11),(7,16),(25,24),(21,4),(18,14),(21,18),(16,10),(30,14),(24,13),(30,30),(30,27),(13,4),(3,13),(18,10),(11,15),(18,17),(24,21),(12,13),(16,7),(21,30),(5,21),(27,15),(3,7),(25,6),(24,22),(23,30),(10,5),(17,25),(28,20),(16,3),(24,23),(20,20),(15,26),(4,0),(11,21),(11,19),(9,1),(28,10),(21,21),(4,11),(16,16),(26,26),(27,21),(16,26),(13,23),(18,13),(10,19),(12,26),(2,30),(26,20),(23,21),(21,10),(30,10),(27,7),(10,3),(12,16),(18,7),(30,26),(3,15),(18,20),(30,7),(10,11),(31,5),(10,12),(2,26),(9,16),(4,5),(2,18),(30,22),(3,24),(19,30),(26,11),(11,27),(9,31),(16,29),(10,17),(23,16),(6,30),(17,1),(2,13),
3:(10,8),(27,10),(10,2),(13,17),(5,25),(22,3),(20,19),(22,1),(26,10),(1,15),(29,29),(19,21),(3,17),(11,7),(13,25),(11,28),(28,16),(29,1),(22,16),(21,17),(24,11),(7,17),(25,25),(20,4),(18,15),(21,19),(16,9),(29,14),(24,12),(30,29),(30,26),(14,4),(4,13),(18,9),(12,15),(17,17),(23,21),(12,12),(16,6),(20,30),(5,20),(27,14),(4,7),(25,7),(23,22),(22,30),(11,5),(17,24),(29,20),(16,4),(24,22),(19,20),(15,25),(4,1),(12,21),(11,18),(9,2),(28,10),(21,22),(4,12),(16,15),(26,25),(27,20),(16,25),(13,24),(18,14),(9,19),(12,25),(3,30),(25,20),(22,21),(20,10),(30,11),(27,6),(11,3),(12,17),(19,7),(30,25),(3,14),(18,21),(29,7),(9,11),(30,5),(10,11),(2,25),(9,17),(3,5),(3,18),(29,22),(4,24),(19,29),(26,12),(11,26),(10,31),(15,29),(10,16),(24,16),(7,30),(17,2),(2,14),
4:(10,9),(26,10),(10,3),(14,17),(6,25),(21,3),(21,19),(22,2),(25,10),(1,16),(28,29),(18,21),(4,17),(10,7),(13,24),(12,28),(27,16),(29,2),(22,17),(20,17),(25,11),(7,18),(25,26),(19,4),(17,15),(21,20),(17,9),(29,13),(24,11),(29,29),(30,25),(14,3),(5,13),(19,9),(12,14),(16,17),(22,21),(12,11),(15,6),(20,29),(5,19),(26,14),(4,8),(25,8),(23,21),(21,30),(12,5),(17,23),(30,20),(16,5),(24,21),(18,20),(14,25),(4,2),(13,21),(11,17),(9,3),(27,10),(20,22),(4,13),(16,14),(25,25),(27,19),(16,24),(14,24),(17,14),(9,18),(11,25),(3,29),(24,20),(21,21),(19,10),(29,11),(26,6),(12,3),(12,18),(20,7),(30,24),(3,13),(18,22),(29,8),(9,12),(30,6),(10,10),(3,25),(8,17),(3,6),(4,18),(28,22),(4,23),(19,28),(25,12),(10,26),(11,31),(15,28),(9,16),(25,16),(8,30),(17,3),(2,15),
5:(10,8),(26,11),(10,4),(14,17),(7,25),(21,4),(22,19),(21,2),(25,10),(1,17),(28,28),(18,22),(5,17),(9,7),(13,23),(12,27),(26,16),(28,2),(23,17),(19,17),(25,12),(7,19),(24,26),(18,4),(16,15),(22,20),(18,9),(28,13),(23,11),(28,29),(30,24),(14,2),(6,13),(20,9),(12,13),(15,17),(21,21),(11,11),(14,6),(19,29),(5,18),(25,14),(5,8),(25,9),(22,21),(20,30),(13,5),(16,23),(30,20),(15,5),(24,20),(17,20),(13,25),(5,2),(14,21),(12,17),(8,3),(26,10),(19,22),(5,13),(17,14),(24,25),(27,18),(16,24),(14,25),(17,15),(8,18),(11,24),(4,29),(24,19),(21,22),(18,10),(29,12),(25,6),(12,4),(11,18),(21,7),(29,24),(3,12),(17,22),(28,8),(8,12),(29,6),(10,9),(4,25),(7,17),(3,7),(4,19),(27,22),(4,22),(19,27),(25,13),(10,25),(12,31),(14,28),(8,16),(25,16),(9,30),(17,4),(3,15),
6:(10,9),(25,11),(10,5),(13,17),(7,24),(20,4),(22,18),(20,2),(25,9),(2,17),(28,27),(17,22),(6,17),(9,8),(13,22),(12,26),(25,16),(27,2),(23,18),(18,17),(25,13),(8,19),(24,27),(18,5),(16,16),(23,20),(19,9),(27,13),(23,10),(28,28),(30,23),(14,1),(6,14),(20,8),(12,12),(14,17),(21,22),(11,10),(13,6),(18,29),(5,17),(24,14),(5,9),(25,8),(21,21),(20,29),(14,5),(15,23),(30,20),(15,6),(24,19),(16,20),(12,25),(5,3),(15,21),(12,16),(8,4),(25,10),(19,23),(5,14),(18,14),(23,25),(26,18),(16,23),(15,25),(17,16),(8,17),(11,23),(5,29),(23,19),(20,22),(18,9),(29,13),(24,6),(12,5),(11,19),(22,7),(28,24),(3,11),(17,23),(28,9),(8,13),(29,7),(11,9),(4,24),(7,18),(3,8),(5,19),(26,22),(5,22),(19,26),(24,13),(10,24),(13,31),(13,28),(7,16),(25,17),(10,30),(18,4),(3,16),
7:(10,10),(25,12),(11,5),(13,18),(7,23),(19,4),(22,17),(20,3),(25,10),(2,18),(27,27),(17,23),(7,17),(8,8),(13,21),(12,25),(24,16),(27,3),(23,19),(17,17),(25,14),(8,20),(23,27),(17,5),(15,16),(23,21),(20,9),(26,13),(23,9),(27,28),(29,23),(15,1),(6,15),(21,8),(12,11),(13,17),(20,22),(11,9),(12,6),(18,28),(6,17),(24,13),(6,9),(25,9),(20,21),(19,29),(15,5),(14,23),(30,20),(15,7),(24,18),(15,20),(12,24),(6,3),(15,22),(13,16),(8,5),(24,10),(18,23),(6,14),(19,14),(23,24),(26,17),(16,22),(16,25),(16,16),(8,16),(11,22),(6,29),(22,19),(19,22),(17,9),(29,14),(23,6),(13,5),(11,20),(22,8),(27,24),(3,10),(17,24),(27,9),(7,13),(28,7),(11,8),(4,23),(7,19),(3,9),(6,19),(26,21),(5,21),(19,25),(23,13),(10,23),(14,31),(12,28),(7,15),(25,16),(11,30),(18,5),(3,17),
8:(10,11),(25,13),(11,6),(14,18),(7,22),(18,4),(22,16),(19,3),(25,11),(2,19),(27,26),(16,23),(7,16),(7,8),(14,21),(12,24),(23,16),(26,3),(24,19),(16,17),(25,15),(9,20),(22,27),(17,5),(15,17),(24,21),(20,8),(26,12),(23,8),(26,28),(29,22),(16,1),(6,16),(22,8),(12,10),(12,17),(19,22),(11,8),(12,5),(18,27),(7,17),(23,13),(6,10),(25,10),(19,21),(18,29),(16,5),(13,23),(30,20),(14,7),(23,18),(15,21),(11,24),(7,3),(16,22),(13,15),(8,5),(24,9),(17,23),(6,15),(20,14),(22,24),(26,16),(16,21),(17,25),(15,16),(8,16),(11,21),(7,29),(21,19),(19,23),(16,9),(29,15),(22,6),(13,6),(10,20),(22,9),(26,24),(3,9),(16,24),(27,10),(6,13),(27,7),(11,7),(5,23),(7,20),(2,9),(7,19),(25,21),(5,20),(19,24),(22,13),(10,22),(15,31),(12,27),(7,15),(25,16),(12,30),(19,5),(3,18),
9:(10,12),(25,14),(11,7),(14,19),(7,22),(17,4),(23,16),(19,4),(25,10),(2,20),(26,26),(16,24),(8,16),(7,9),(15,21),(12,23),(23,17),(25,3),(24,20),(15,17),(25,16),(10,20),(21,27),(18,5),(14,17),(24,22),(21,8),(25,12),(22,8),(26,27),(29,21),(17,1),(7,16),(22,9),(12,10),(11,17),(18,22),(10,8),(11,5),(17,27),(7,17),(23,12),(6,11),(25,9),(19,22),(17,29),(17,5),(13,23),(30,20),(14,7),(22,18),(15,22),(10,24),(8,3),(17,22),(14,15),(8,5),(23,9),(16,23),(6,16),(21,14),(22,23),(26,15),(16,21),(18,25),(14,16),(8,17),(11,20),(8,29),(20,19),(18,23),(16,8),(29,16),(21,6),(13,7),(10,19),(22,10),(25,24),(3,8),(15,24),(26,10),(6,14),(26,7),(12,7),(5,22),(7,21),(2,10),(7,20),(24,21),(5,19),(19,23),(21,13),(10,21),(16,31),(12,26),(6,15),(26,16),(13,30),(19,6),(4,18),
